"","hyper_param","sensetivity","specificity","error_rate"
"1",1,0.0108803165182987,0.999343939642447,0.858750703432752
"2",2,0.417408506429278,0.977201902575037,0.897580191333708
"3",3,0.502472799208704,0.96949319337379,0.903066966797974
"4",4,0.536102868447082,0.962932589798261,0.902222847495779
"5",5,0.573689416419387,0.955223880597015,0.900956668542487
"6",6,0.588526211671612,0.945054945054945,0.894344400675295
"7",7,0.591493570722057,0.946039035591274,0.895610579628587
