"","hyper_param","sensetivity","specificity","error_rate"
"1",1,0.973183910346208,0.558238636363636,0.849908566605711
"2",2,0.956373824294577,0.705492424242424,0.881839921226614
"3",3,0.951170702421453,0.731060606060606,0.88577859051906
"4",4,0.935361216730038,0.755681818181818,0.881980587987059
"5",5,0.937762657594557,0.751893939393939,0.882543255028837
"6",6,0.933560136081649,0.761363636363636,0.882402588268392
"7",7,0.934360616369822,0.761363636363636,0.88296525531017
